

,,,,,,,,Stan,Stan,Stan,Stan,Stan,Expe,Expe,Expe,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,xG,npxG,npxG/Sh,-9999
546,Sada Thioub,sn SEN,FWMF,Angers,25,1995,1,23,6,26.1,0.04,0.17,1.5,1.5,0.06,f4bc42b1
547,Romain Thomas,fr FRA,DF,Angers,32,1988,4,15,8,53.3,0.27,0.50,2.2,2.2,0.14,275e2c51
548,Adrien Thomasson,fr FRA,MF,Strasbourg,26,1993,5,46,15,32.6,0.11,0.33,6.4,6.4,0.14,c76b7567
549,Khéphren Thuram-Ulie,fr FRA,MF,Nice,19,2001,2,10,4,40.0,0.20,0.50,0.8,0.8,0.08,7d9397f8
550,Cheikh Tidiane Sabaly,sn SEN,MF,Metz,21,1999,0,1,0,0.0,0.00,,0.0,0.0,0.03,9ddf7fae
551,Jean-Clair Todibo,fr FRA,DF,Nice,20,1999,1,7,1,14.3,0.14,1.00,0.6,0.6,0.08,88f130ed
552,Karl Toko Ekambi,cm CMR,FW,Lyon,27,1992,14,92,38,41.3,0.15,0.37,18.4,18.4,0.20,5ceba7fc
553,Tyron Tormin,fr FRA,MFFW,Saint-Étienne,19,2001,0,1,0,0.0,0.00,,0.0,0.0,0.03,0d99c6e1
554,Abdoulaye Touré,fr FRA,MF,Nantes,26,1994,2,26,4,15.4,0.04,0.25,2.5,1.7,0.07,ef7cd87a
555,Amadou Traore,fr FRA,MFFW,Bordeaux,18,2002,0,3,1,33.3,0.00,0.00,0.3,0.3,0.09,4eb0686f
556,Boubacar Traoré,ml MLI,MF,Metz,18,2001,1,2,1,50.0,0.50,1.00,0.0,0.0,0.01,999ceb5f
557,Charles Traore,ml MLI,DF,Nantes,28,1992,1,2,1,50.0,0.50,1.00,0.2,0.2,0.12,de488e56
558,Cheick Traoré,ml MLI,DF,Lens,25,1995,0,0,0,,,,0.0,0.0,,bfcef334
559,Hamari Traoré,ml MLI,DF,Rennes,28,1992,1,24,5,20.8,0.04,0.20,1.4,1.4,0.06,a4b1028a
560,Ismaël Traoré,ci CIV,DF,Angers,33,1986,3,12,5,41.7,0.25,0.60,1.5,1.5,0.13,b666421b
561,Miguel Trauco,pe PER,DF,Saint-Étienne,27,1992,0,6,1,16.7,0.00,0.00,0.1,0.1,0.02,e4b72e34
562,Alexis Trouillet,fr FRA,MF,Nice,19,2000,0,2,0,0.0,0.00,,0.1,0.1,0.04,0a8d6b91
563,Adrien Truffert,fr FRA,DFMF,Rennes,18,2001,1,23,3,13.0,0.04,0.33,1.5,1.5,0.06,5d0e0a1f
564,Marvin Tshibuabua,fr FRA,DF,Saint-Étienne,18,2002,0,1,0,0.0,0.00,,0.1,0.1,0.14,7a0b1e96
565,Matthieu Udol,fr FRA,DF,Metz,24,1996,0,12,4,33.3,0.00,0.00,0.4,0.4,0.03,cc41f558
566,Naomichi Ueda,jp JPN,DF,Nîmes,25,1994,0,2,1,50.0,0.00,0.00,0.1,0.1,0.05,539b4f25
567,Chimuanya Ugochukwu,fr FRA,MF,Rennes,16,2004,0,2,0,0.0,0.00,,0.1,0.1,0.03,1df4a109
568,Hwang Ui-jo,kr KOR,FWMF,Bordeaux,27,1992,12,74,28,37.8,0.12,0.32,12.4,10.2,0.14,a2d873dd
569,Antoine Valerio,fr FRA,MF,Nîmes,20,1999,0,0,0,,,,0.0,0.0,,95981861
570,Marco Verratti,it ITA,MF,Paris S-G,27,1992,0,10,5,50.0,0.00,0.00,1.1,1.1,0.11,1467af0d
571,Clément Vidal,fr FRA,DF,Montpellier,20,2000,0,0,0,,,,0.0,0.0,,b2791a55
572,Kevin Volland,de GER,FWMF,Monaco,28,1992,16,59,30,50.8,0.27,0.53,10.4,10.4,0.18,64f69877
573,Franklin Wadja,cm CMR,MFFW,Lorient,25,1995,0,1,0,0.0,0.00,,0.0,0.0,0.01,7cbf91b2
574,Timothy Weah,us USA,FWMF,Lille,20,2000,3,24,9,37.5,0.13,0.33,3.6,3.6,0.15,8eec784d
575,Yoane Wissa,cd COD,FWMF,Lorient,23,1996,10,52,20,38.5,0.12,0.30,11.8,8.3,0.16,2500cef9
576,Xeka,pt POR,MF,Lille,25,1994,1,18,5,27.8,0.06,0.20,0.8,0.8,0.05,f3600c02
577,Yusuf Yazıcı,tr TUR,FWMF,Lille,23,1997,7,45,20,44.4,0.16,0.35,5.6,5.6,0.12,f5c8b425
578,Burak Yılmaz,tr TUR,FW,Lille,35,1985,16,61,27,44.3,0.20,0.44,10.3,7.3,0.12,165a2e40
579,Wilitty Younoussa,cm CMR,MFDF,Dijon,18,2001,0,2,0,0.0,0.00,,0.0,0.0,0.02,2736b85e
580,Zaydou Youssouf,fr FRA,MF,Saint-Étienne,21,1999,1,15,4,26.7,0.07,0.25,0.9,0.9,0.06,e2f9bb5f
581,Arthur Zagre,fr FRA,DFMF,Dijon,18,2001,0,0,0,,,,0.0,0.0,,3225654e
582,Arber Zeneli,xk KVX,MFFW,Reims,25,1995,3,21,9,42.9,0.14,0.33,1.7,1.7,0.08,095e4199
583,Mehdi Zerkane,dz ALG,MFFW,Bordeaux,21,1999,1,15,7,46.7,0.07,0.14,1.8,1.8,0.12,53f6306f
584,Kévin Zohi,ml MLI,FWMF,Strasbourg,23,1996,2,15,8,53.3,0.13,0.25,1.2,1.2,0.08,775185ae
